Employee_ID,Tasks_Assigned,Tasks_Completed,Context_Switches_Per_Day,Avg_Uninterrupted_Work_Mins,Standard_Hours_Logged,After_Hours_Mins,Missed_Deadlines,Burnout_Risk_Score
EMP00001,36,32,10,62,35.1,126,1,44
EMP00002,31,27,9,42,40.1,140,2,69
EMP00003,32,30,11,59,39.3,90,0,41
EMP00004,26,19,16,16,41.2,336,3,100
EMP00005,22,16,16,24,41.7,510,2,100
EMP00006,41,37,4,116,43.7,26,1,23
EMP00007,38,33,5,107,36.5,8,1,24
EMP00008,20,16,15,63,43.0,170,1,59
EMP00009,11,10,7,86,38.3,45,0,20
EMP00010,36,33,5,85,39.0,18,0,14
EMP00011,21,17,10,70,36.6,115,2,52
EMP00012,18,16,12,59,44.2,96,0,41
EMP00013,21,14,17,24,37.9,291,5,100
EMP00014,43,39,3,104,44.2,22,1,20
EMP00015,42,36,9,67,40.1,83,2,49
EMP00016,45,40,3,114,38.1,34,0,13
EMP00017,38,35,6,114,42.3,54,1,27
EMP00018,16,12,23,27,35.1,395,4,100
EMP00019,15,14,10,40,37.6,173,2,73
EMP00020,21,18,12,45,37.9,131,1,62
EMP00021,22,20,2,69,44.2,52,1,19
EMP00022,39,28,22,20,42.8,412,3,100
EMP00023,29,26,2,115,41.6,16,1,17
EMP00024,12,10,4,83,39.5,46,0,14
EMP00025,46,35,11,66,37.2,191,1,58
EMP00026,37,36,7,99,40.2,27,0,18
EMP00027,13,9,21,28,41.8,471,4,100
EMP00028,33,28,4,87,43.1,30,1,24
EMP00029,16,13,13,62,36.0,78,1,46
EMP00030,45,36,12,56,35.6,86,2,62
EMP00031,15,14,7,80,41.9,11,1,26
EMP00032,43,41,5,117,36.4,25,0,14
EMP00033,34,26,25,20,40.4,319,3,100
EMP00034,24,21,7,94,44.8,25,0,19
EMP00035,25,19,8,61,44.7,173,2,55
EMP00036,27,25,4,118,41.2,36,0,13
EMP00037,38,33,7,75,44.2,56,1,22
EMP00038,22,18,6,112,43.5,41,1,22
EMP00039,34,25,14,42,42.6,61,2,74
EMP00040,13,10,23,23,38.6,345,3,100
EMP00041,28,26,5,73,41.8,19,1,23
EMP00042,25,18,25,23,38.4,308,1,100
EMP00043,27,23,8,47,40.0,128,0,43
EMP00044,35,30,7,111,44.7,26,1,25
EMP00045,22,18,9,54,43.1,79,0,41
EMP00046,49,45,7,100,36.9,16,0,19
EMP00047,46,45,5,86,36.6,60,1,24
EMP00048,48,36,25,19,37.0,210,3,100
EMP00049,19,16,7,108,38.2,54,1,31
